protocol_id,node_type,q_id,question,options,diagnosis,red_flag_symptom,over_to_counter,advice,precaution,lab_tests,diet,description,category,gender
8,question,1,Does the child have a fever above 100.4°F (38°C)?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
8,question,2,Is the child excessively irritable or crying?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 3}]",,,,,,,,No,0-2,Male
8,question,3,Has the child been feeding less than usual?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
8,question,4,Does the child have a rash accompanying the fever?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 5}]",,,,,,,,No,0-2,Male
8,question,5,Is the child vomiting or having diarrhea?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 106}]",,,,,,,,No,0-2,Male
8,diagnosis,106,,,Urinary Tract Infection (UTI),"[""Painful urination""]","[""None""]","[""Consult a doctor""]","[""Ensure hygiene""]","[""Urine analysis""]",,Bacterial infection causing fever and discomfort.,0-2,Male
8,question,1,Does the child have a fever above 100.4°F (38°C)?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
8,question,2,Is the child excessively irritable or crying?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 3}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
8,question,3,Has the child been feeding less than usual?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
8,question,4,Does the child have a rash accompanying the fever?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 5}]",,,,,,,,No,0-2,Female
8,question,5,Is the child vomiting or having diarrhea?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 105}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
8,diagnosis,105,,,Flu (Influenza),"[""Difficulty breathing""]","[""Ibuprofen""]","[""Rest and hydration""]","[""Get flu vaccine""]","[""Flu swab test""]",,"A viral infection causing fever, fatigue, and body aches.",0-2,Female
8,question,13,Does the child have a fever above 100.4°F (38°C)?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 14}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Male
8,question,14,Is the child complaining of a sore throat?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 15}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,3-12,Male
8,question,15,Does the child have a headache?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 16}]",,,,,,,,No,3-12,Male
