protocol_id,node_type,q_id,question,options,diagnosis,red_flag_symptom,over_to_counter,advice,precaution,lab_tests,diet,description,category,gender
5,question,1,Does the infant cry excessively or seem irritable?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,2,Does the infant show signs of lethargy or decreased activity?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 3}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,3,Has the infant been feeding poorly?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,4,Has the infant had a fever recently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 5}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,question,5,Has the infant been vomiting or spitting up more than usual?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 105}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Male
5,diagnosis,105,,,Meningitis,"[""Seizures, stiff neck""]",[],"[""Seek immediate medical attention""]","[""Vaccination""]","[""Lumbar puncture""]",,Serious infection causing headache and fever.,0-2,Male
5,question,1,Does the infant cry excessively or seem irritable?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 2}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,question,2,Does the infant show signs of lethargy or decreased activity?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": null}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": 3}]",,,,,,,,No,0-2,Female
5,question,3,Has the infant been feeding poorly?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 4}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
5,question,4,Has the infant had a fever recently?,"[{""opt_id"": 1, ""opt_value"": ""Yes"", ""next_id"": 5}, {""opt_id"": 2, ""opt_value"": ""No"", ""next_id"": null}]",,,,,,,,Yes,0-2,Female
